ref,name,is_councillor,month,service_area,deputy_directorate
15413568,Leaf,1,01/03/2024,"Highways, Traffic and Infrastructure",Place
15467380,Leaf,1,01/04/2024,Exchequer Services,Finance
15468981,Leaf,1,01/04/2024,Environmental Services,Place
15491800,Leaf,1,01/04/2024,"Highways, Traffic and Infrastructure",Place
15555309,Leaf,1,01/04/2024,"Highways, Traffic and Infrastructure",Place
15558708,Leaf,1,01/04/2024,Exchequer Services,Finance
15560308,Leaf,1,01/04/2024,Parking Enforcement (Bexley and Bromley),Place
15560908,Leaf,1,01/04/2024,"Highways, Traffic and Infrastructure",Place
15574688,Leaf,1,01/04/2024,Planning and Regulation,Place
15579520,Leaf,1,01/04/2024,Risk and Assurance,Finance
15580720,Leaf,1,01/04/2024,Environmental Services,Place
15612713,Leaf,1,01/05/2024,Environmental Services,Place
15632056,Leaf,1,01/05/2024,Planning and Regulation,Place
15636556,Leaf,1,01/05/2024,Parking Enforcement (Bexley and Bromley),Place
15660132,Leaf,1,01/05/2024,Exchequer Services,Finance
15664624,Leaf,1,01/05/2024,"Highways, Traffic and Infrastructure",Place
15744176,Leaf,1,01/06/2024,Environmental Services,Place
15770988,Leaf,1,01/06/2024,"Highways, Traffic and Infrastructure",Place
14155164,Lucia-Hennis,1,01/07/2023,Environmental Services,Place
14157699,Lucia-Hennis,1,01/07/2023,Environmental Services,Place
14933804,Lucia-Hennis,1,01/12/2023,Leisure Parks and Open Spaces,Place
14191584,Moore,1,01/07/2023,"Highways, Traffic and Infrastructure",Place
14243164,Moore,1,01/07/2023,Housing Services,Place
14251392,Moore,1,01/07/2023,Housing Services,Place
14315632,Moore,1,01/07/2023,Planning and Regulation,Place
14349784,Moore,1,01/08/2023,"Highways, Traffic and Infrastructure",Place
14598424,Moore,1,01/09/2023,0-25 SEND,Educational Achievement & Inclusion
14635916,Moore,1,01/10/2023,"Property, Assets and Facilities Management",Finance
14742232,Moore,1,01/10/2023,Strategic Planning,Place
14783316,Moore,1,01/11/2023,Housing Services,Place
14852728,Moore,1,01/11/2023,"Highways, Traffic and Infrastructure",Place
14971360,Moore,1,01/12/2023,"Highways, Traffic and Infrastructure",Place
14997484,Moore,1,01/12/2023,Environmental Services,Place
15019012,Moore,1,01/12/2023,"Highways, Traffic and Infrastructure",Place
15028072,Moore,1,01/01/2024,Environmental Services,Place
15061192,Moore,1,01/01/2024,Leisure Parks and Open Spaces,Place
15338033,Moore,1,01/03/2024,Environmental Services,Place
15417467,Moore,1,01/03/2024,Exchequer Services,Finance
15673116,Moore,1,01/05/2024,"Highways, Traffic and Infrastructure",Place
15632956,Efford,0,01/05/2024,Complex Care,Adult Social Care & Health
14147200,Munur,1,01/07/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14177224,Munur,1,01/07/2023,"Highways, Traffic and Infrastructure",Place
14188321,Munur,1,01/07/2023,Environmental Services,Place
14211412,Munur,1,01/07/2023,Environmental Services,Place
14576604,Newton,1,01/09/2023,Housing Services,Place
14578104,Newton,1,01/09/2023,Housing Services,Place
14608620,Newton,1,01/10/2023,Housing Services,Place
14691624,Newton,1,01/10/2023,Exchequer Services,Finance
14735636,Newton,1,01/10/2023,Housing Services,Place
14827268,Newton,1,01/11/2023,Environmental Services,Place
15093812,Newton,1,01/01/2024,"Highways, Traffic and Infrastructure",Place
15261108,Newton,1,01/02/2024,Housing Services,Place
15478244,Newton,1,01/03/2024,Housing Services,Place
15713745,Newton,1,01/05/2024,Housing Services,Place
15132104,Ogundayo,1,01/01/2024,Housing Services,Place
14162596,O'Hare,1,01/07/2023,Environmental Services,Place
14433010,O'Hare,1,01/08/2023,Environmental Services,Place
14658740,O'Hare,1,01/10/2023,Environmental Services,Place
15210837,O'Hare,1,01/02/2024,Leisure Parks and Open Spaces,Place
15259008,O'Hare,1,01/02/2024,Environmental Services,Place
15272340,O'Hare,1,01/02/2024,Environmental Services,Place
14142100,O'Neill,1,01/07/2023,Housing Services,Place
14154964,O'Neill,1,01/07/2023,Housing Services,Place
14229300,O'Neill,1,01/07/2023,Housing Services,Place
14314232,O'Neill,1,01/07/2023,Housing Services,Place
14357812,O'Neill,1,01/08/2023,Housing Services,Place
14381268,O'Neill,1,01/08/2023,Planning and Regulation,Place
14442864,O'Neill,1,01/08/2023,"Highways, Traffic and Infrastructure",Place
14443564,O'Neill,1,01/08/2023,Housing Services,Place
14516536,O'Neill,1,01/09/2023,Housing Services,Place
14519200,O'Neill,1,01/09/2023,Housing Services,Place
14537124,O'Neill,1,01/09/2023,"Highways, Traffic and Infrastructure",Place
14551184,O'Neill,1,01/09/2023,"Highways, Traffic and Infrastructure",Place
14576704,O'Neill,1,01/09/2023,Housing Services,Place
14736136,O'Neill,1,01/10/2023,Environmental Services,Place
14749996,O'Neill,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14875824,O'Neill,1,01/11/2023,Safeguarding Adults,Adult Social Care & Health
14966960,O'Neill,1,01/12/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14967160,O'Neill,1,01/12/2023,"Highways, Traffic and Infrastructure",Place
15083148,O'Neill,1,01/01/2024,"Highways, Traffic and Infrastructure",Place
15115108,O'Neill,1,01/01/2024,Housing Services,Place
15127104,O'Neill,1,01/01/2024,Housing Services,Place
15171024,O'Neill,1,01/01/2024,Planning and Regulation,Place
15176888,O'Neill,1,01/01/2024,Planning and Regulation,Place
15244784,O'Neill,1,01/02/2024,Environmental Services,Place
15300292,O'Neill,1,01/02/2024,Planning and Regulation,Place
15301092,O'Neill,1,01/02/2024,Planning and Regulation,Place
15418164,O'Neill,1,01/03/2024,"Highways, Traffic and Infrastructure",Place
15424924,O'Neill,1,01/03/2024,Planning and Regulation,Place
15639820,O'Neill,1,01/05/2024,"Highways, Traffic and Infrastructure",Place
15680440,O'Neill,1,01/05/2024,Strategic Planning,Place
15708148,O'Neill,1,01/06/2024,Housing Services,Place
15738548,O'Neill,1,01/06/2024,Housing Services,Place
14178524,Oppong-Asare,0,01/07/2023,Housing Services,Place
14182024,Oppong-Asare,0,01/07/2023,Housing Services,Place
14182324,Oppong-Asare,0,01/07/2023,Environmental Services,Place
14182624,Oppong-Asare,0,01/07/2023,Housing Services,Place
14204617,Oppong-Asare,0,01/07/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14207512,Oppong-Asare,0,01/07/2023,"Highways, Traffic and Infrastructure",Place
14211713,Oppong-Asare,0,01/07/2023,"Highways, Traffic and Infrastructure",Place
14221508,Oppong-Asare,0,01/07/2023,Housing Services,Place
14228036,Oppong-Asare,0,01/07/2023,Housing Services,Place
14230900,Oppong-Asare,0,01/07/2023,Housing Services,Place
14231700,Oppong-Asare,0,01/07/2023,Environmental Services,Place
14232000,Oppong-Asare,0,01/07/2023,Housing Services,Place
14240564,Oppong-Asare,0,01/07/2023,Housing Services,Place
14249828,Oppong-Asare,0,01/07/2023,Housing Services,Place
14254492,Oppong-Asare,0,01/07/2023,Housing Services,Place
14275380,Oppong-Asare,0,01/07/2023,Parking Enforcement (Bexley and Bromley),Place
14276280,Oppong-Asare,0,01/07/2023,Housing Services,Place
14282344,Oppong-Asare,0,01/07/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14296104,Oppong-Asare,0,01/07/2023,Environmental Services,Place
14312632,Oppong-Asare,0,01/08/2023,Housing Services,Place
14313335,Oppong-Asare,0,01/08/2023,Housing Services,Place
14313632,Oppong-Asare,0,01/08/2023,Parking Enforcement (Bexley and Bromley),Place
14315734,Oppong-Asare,0,01/08/2023,Housing Services,Place
14316032,Oppong-Asare,0,01/07/2023,Housing Services,Place
14316534,Oppong-Asare,0,01/08/2023,"Highways, Traffic and Infrastructure",Place
14320896,Oppong-Asare,0,01/07/2023,Housing Services,Place
14325796,Oppong-Asare,0,01/08/2023,Environmental Services,Place
14340088,Oppong-Asare,0,01/08/2023,Housing Services,Place
14352348,Oppong-Asare,0,01/08/2023,Environmental Services,Place
14357512,Oppong-Asare,0,01/08/2023,Environmental Services,Place
14365477,Oppong-Asare,0,01/08/2023,Housing Services,Place
14372340,Oppong-Asare,0,01/08/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14377168,Oppong-Asare,0,01/08/2023,Complex Care,Adult Social Care & Health
14386464,Oppong-Asare,0,01/08/2023,Housing Services,Place
14388864,Oppong-Asare,0,01/08/2023,Environmental Services,Place
14409120,Oppong-Asare,0,01/08/2023,"Highways, Traffic and Infrastructure",Place
14409721,Oppong-Asare,0,01/08/2023,Housing Services,Place
14412984,Oppong-Asare,0,01/08/2023,Environmental Services,Place
14428044,Oppong-Asare,0,01/08/2023,Housing Services,Place
14431408,Oppong-Asare,0,01/08/2023,Housing Services,Place
14443964,Oppong-Asare,0,01/08/2023,Environmental Services,Place
14445765,Oppong-Asare,0,01/08/2023,Housing Services,Place
14462224,Oppong-Asare,0,01/09/2023,Housing Services,Place
14462624,Oppong-Asare,0,01/09/2023,Housing Services,Place
14484352,Oppong-Asare,0,01/09/2023,Housing Services,Place
14491516,Oppong-Asare,0,01/09/2023,Leisure Parks and Open Spaces,Place
14497080,Oppong-Asare,0,01/09/2023,Planning and Regulation,Place
14524332,Oppong-Asare,0,01/09/2023,Housing Services,Place
14542020,Oppong-Asare,0,01/09/2023,Libraries and Communities,Place
14557780,Oppong-Asare,0,01/09/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14557980,Oppong-Asare,0,01/09/2023,Housing Services,Place
14558780,Oppong-Asare,0,01/09/2023,Housing Services,Place
14565144,Oppong-Asare,0,01/09/2023,Housing Services,Place
14609520,Oppong-Asare,0,01/09/2023,Housing Services,Place
14612820,Oppong-Asare,0,01/10/2023,Libraries and Communities,Place
14626084,Oppong-Asare,0,01/10/2023,Housing Services,Place
14635416,Oppong-Asare,0,01/10/2023,Housing Services,Place
14644481,Oppong-Asare,0,01/10/2023,"Highways, Traffic and Infrastructure",Place
14646182,Oppong-Asare,0,01/10/2023,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14662340,Oppong-Asare,0,01/10/2023,Housing Services,Place
14663704,Oppong-Asare,0,01/10/2023,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
14673968,Oppong-Asare,0,01/10/2023,Housing Services,Place
14674568,Oppong-Asare,0,01/10/2023,Housing Services,Place
14691724,Oppong-Asare,0,01/10/2023,Environmental Services,Place
14693724,Oppong-Asare,0,01/10/2023,"Highways, Traffic and Infrastructure",Place
14714148,Oppong-Asare,0,01/10/2023,Housing Services,Place
14721976,Oppong-Asare,0,01/10/2023,0-25 SEND,Educational Achievement & Inclusion
14729740,Oppong-Asare,0,01/10/2023,Housing Services,Place
14733640,Oppong-Asare,0,01/10/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14741432,Oppong-Asare,0,01/10/2023,Housing Services,Place
14741732,Oppong-Asare,0,01/10/2023,Housing Services,Place
14744832,Oppong-Asare,0,01/10/2023,Housing Services,Place
14764960,Oppong-Asare,0,01/10/2023,Parking Enforcement (Bexley and Bromley),Place
14767860,Oppong-Asare,0,01/10/2023,Safeguarding Adults,Adult Social Care & Health
14783317,Oppong-Asare,0,01/11/2023,Exchequer Services,Finance
14790048,Oppong-Asare,0,01/11/2023,Housing Services,Place
14806676,Oppong-Asare,0,01/11/2023,Complex Care,Adult Social Care & Health
14806877,Oppong-Asare,0,01/11/2023,Housing Services,Place
14836732,Oppong-Asare,0,01/11/2023,Housing Services,Place
14839532,Oppong-Asare,0,01/11/2023,Environmental Services,Place
14839832,Oppong-Asare,0,01/11/2023,"Highways, Traffic and Infrastructure",Place
14857660,Oppong-Asare,0,01/11/2023,Housing Services,Place
14858260,Oppong-Asare,0,01/11/2023,Housing Services,Place
14861860,Oppong-Asare,0,01/11/2023,Housing Services,Place
14868492,Oppong-Asare,0,01/11/2023,Housing Services,Place
14874324,Oppong-Asare,0,01/11/2023,Housing Services,Place
14882952,Oppong-Asare,0,01/11/2023,Housing Services,Place
14883952,Oppong-Asare,0,01/11/2023,Housing Services,Place
14936304,Oppong-Asare,0,01/12/2023,"Highways, Traffic and Infrastructure",Place
14946068,Oppong-Asare,0,01/12/2023,Housing Services,Place
14946168,Oppong-Asare,0,01/12/2023,Parking Enforcement (Bexley and Bromley),Place
14953632,Oppong-Asare,0,01/12/2023,Planning and Regulation,Place
14972160,Oppong-Asare,0,01/12/2023,Housing Services,Place
14982956,Oppong-Asare,0,01/12/2023,Housing Services,Place
14993452,Oppong-Asare,0,01/12/2023,Parking Enforcement (Bexley and Bromley),Place
15002084,Oppong-Asare,0,01/12/2023,Housing Services,Place
15004148,Oppong-Asare,0,01/12/2023,Housing Services,Place
15017912,Oppong-Asare,0,01/12/2023,Housing Services,Place
15018212,Oppong-Asare,0,01/12/2023,Housing Services,Place
15018612,Oppong-Asare,0,01/12/2023,Housing Services,Place
15030904,Oppong-Asare,0,01/01/2024,Housing Services,Place
15047964,Oppong-Asare,0,01/01/2024,Libraries and Communities,Place
15051496,Oppong-Asare,0,01/01/2024,Parking Enforcement (Bexley and Bromley),Place
15054696,Oppong-Asare,0,01/01/2024,Housing Services,Place
15060392,Oppong-Asare,0,01/01/2024,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
15084248,Oppong-Asare,0,01/01/2024,"Highways, Traffic and Infrastructure",Place
15090612,Oppong-Asare,0,01/01/2024,Complex Care,Adult Social Care & Health
15128004,Oppong-Asare,0,01/01/2024,Housing Services,Place
15139236,Oppong-Asare,0,01/01/2024,Housing Services,Place
15149068,Oppong-Asare,0,01/01/2024,Housing Services,Place
15155732,Oppong-Asare,0,01/01/2024,Housing Services,Place
15157164,Oppong-Asare,0,01/01/2024,Housing Services,Place
15157664,Oppong-Asare,0,01/01/2024,"Property, Assets and Facilities Management",Finance
15174888,Oppong-Asare,0,01/01/2024,"Highways, Traffic and Infrastructure",Place
15175388,Oppong-Asare,0,01/01/2024,Housing Services,Place
15177388,Oppong-Asare,0,01/01/2024,Complex Care,Adult Social Care & Health
15191848,Oppong-Asare,0,01/02/2024,Libraries and Communities,Place
15207304,Oppong-Asare,0,01/02/2024,Housing Services,Place
15209936,Oppong-Asare,0,01/02/2024,Exchequer Services,Finance
15212236,Oppong-Asare,0,01/02/2024,Housing Services,Place
15213036,Oppong-Asare,0,01/02/2024,Environmental Services,Place
15238488,Oppong-Asare,0,01/02/2024,Housing Services,Place
15240188,Oppong-Asare,0,01/02/2024,Housing Services,Place
15241284,Oppong-Asare,0,01/02/2024,Housing Services,Place
15264708,Oppong-Asare,0,01/02/2024,Housing Services,Place
15277236,Oppong-Asare,0,01/02/2024,Environmental Services,Place
15317344,Oppong-Asare,0,01/02/2024,Exchequer Services,Finance
15323240,Oppong-Asare,0,01/03/2024,Planning and Regulation,Place
15334232,Oppong-Asare,0,01/03/2024,Housing Services,Place
15353220,Oppong-Asare,0,01/03/2024,Complex Care,Adult Social Care & Health
15370508,Oppong-Asare,0,01/03/2024,"Highways, Traffic and Infrastructure",Place
15416564,Oppong-Asare,0,01/03/2024,Complex Care,Adult Social Care & Health
15428820,Oppong-Asare,0,01/03/2024,0-25 SEND,Educational Achievement & Inclusion
15435084,Oppong-Asare,0,01/03/2024,Housing Services,Place
15449504,Oppong-Asare,0,01/04/2024,Housing Services,Place
15458696,Oppong-Asare,0,01/04/2024,Corporate Finance,Finance
15462020,Oppong-Asare,0,01/04/2024,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15466680,Oppong-Asare,0,01/04/2024,Housing Services,Place
15469180,Oppong-Asare,0,01/04/2024,Housing Services,Place
15479044,Oppong-Asare,0,01/02/2024,Housing Services,Place
15483308,Oppong-Asare,0,01/02/2024,Housing Services,Place
15491501,Oppong-Asare,0,01/04/2024,"Looked after Children, Permanence and Specialist Services",Childrens Social Care
15527468,Oppong-Asare,0,01/04/2024,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15538654,Oppong-Asare,0,01/04/2024,Housing Services,Place
15546948,Oppong-Asare,0,01/04/2024,Integrated Commissioning,Adult Social Care & Health
15573388,Oppong-Asare,0,01/04/2024,Housing Services,Place
15573888,Oppong-Asare,0,01/04/2024,Housing Services,Place
15574988,Oppong-Asare,0,01/04/2024,0-25 SEND,Educational Achievement & Inclusion
15632356,Oppong-Asare,0,01/05/2024,Housing Services,Place
15658800,Oppong-Asare,0,01/05/2024,Housing Services,Place
15668924,Oppong-Asare,0,01/05/2024,Parking Enforcement (Bexley and Bromley),Place
15688264,Oppong-Asare,0,01/05/2024,Housing Services,Place
15702952,Oppong-Asare,0,01/05/2024,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15710048,Oppong-Asare,0,01/06/2024,Housing Services,Place
14257192,Pennycook,0,01/07/2023,Planning and Regulation,Place
15341528,Pennycook,0,01/03/2024,Housing Services,Place
14208012,Perfect,1,01/07/2023,Housing Services,Place
14259088,Perfect,1,01/07/2023,Complex Care,Adult Social Care & Health
14300104,Perfect,1,01/07/2023,Housing Services,Place
14302368,Perfect,1,01/08/2023,Environmental Services,Place
14304868,Perfect,1,01/08/2023,Environmental Services,Place
14318332,Perfect,1,01/07/2023,Leisure Parks and Open Spaces,Place
14375040,Perfect,1,01/08/2023,Parking Enforcement (Bexley and Bromley),Place
14435336,Perfect,1,01/08/2023,Housing Services,Place
14438436,Perfect,1,01/08/2023,Environmental Services,Place
14449664,Perfect,1,01/08/2023,Environmental Services,Place
14455060,Perfect,1,01/08/2023,Housing Services,Place
14470456,Perfect,1,01/09/2023,"Highways, Traffic and Infrastructure",Place
14478220,Perfect,1,01/09/2023,Leisure Parks and Open Spaces,Place
14516836,Perfect,1,01/09/2023,Housing Services,Place
14642880,Perfect,1,01/10/2023,Environmental Services,Place
14642981,Perfect,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14644380,Perfect,1,01/10/2023,Environmental Services,Place
14691424,Perfect,1,01/10/2023,Leisure Parks and Open Spaces,Place
14798412,Perfect,1,01/11/2023,Environmental Services,Place
14803876,Perfect,1,01/11/2023,Housing Services,Place
14806476,Perfect,1,01/11/2023,0-25 SEND,Educational Achievement & Inclusion
14822068,Perfect,1,01/11/2023,0-25 SEND,Educational Achievement & Inclusion
14825968,Perfect,1,01/11/2023,Planning and Regulation,Place
14846296,Perfect,1,01/11/2023,0-25 SEND,Educational Achievement & Inclusion
14846496,Perfect,1,01/11/2023,Planning and Regulation,Place
14903948,Perfect,1,01/11/2023,Housing Services,Place
15028272,Perfect,1,01/01/2024,Environmental Services,Place
15041168,Perfect,1,01/01/2024,Environmental Services,Place
15080348,Perfect,1,01/01/2024,"Highways, Traffic and Infrastructure",Place
15091413,Perfect,1,01/01/2024,Environmental Services,Place
15134004,Perfect,1,01/01/2024,Housing Services,Place
15292764,Perfect,1,01/02/2024,Environmental Services,Place
15300692,Perfect,1,01/02/2024,Environmental Services,Place
15336632,Perfect,1,01/03/2024,Housing Services,Place
15337033,Perfect,1,01/03/2024,Exchequer Services,Finance
15341329,Perfect,1,01/03/2024,Housing Services,Place
15357184,Perfect,1,01/03/2024,Parking Enforcement (Bexley and Bromley),Place
15376404,Perfect,1,01/03/2024,Complex Care,Adult Social Care & Health
15605952,Perfect,1,01/05/2024,Planning and Regulation,Place
15617304,Perfect,1,01/05/2024,Planning and Regulation,Place
15633458,Perfect,1,01/05/2024,Parking Enforcement (Bexley and Bromley),Place
15668224,Perfect,1,01/05/2024,Housing Services,Place
15679440,Perfect,1,01/05/2024,Housing Services,Place
15714844,Perfect,1,01/06/2024,Housing Services,Place
15727197,Perfect,1,01/06/2024,Housing Services,Place
15745536,Perfect,1,01/06/2024,Complex Care,Adult Social Care & Health
15788328,Perfect,1,01/06/2024,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14418980,Quince,0,01/08/2023,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14611420,Read,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14699388,Read,1,01/10/2023,Environmental Services,Place
14812840,Read,1,01/11/2023,0-25 SEND,Educational Achievement & Inclusion
15054096,Read,1,01/01/2024,Planning and Regulation,Place
15157964,Read,1,01/01/2024,Environmental Services,Place
15424424,Read,1,01/03/2024,"Highways, Traffic and Infrastructure",Place
15776680,Read,1,01/06/2024,"Highways, Traffic and Infrastructure",Place
14377268,Reader,1,01/08/2023,Housing Services,Place
14377668,Reader,1,01/08/2023,Housing Services,Place
14695124,Reader,1,01/10/2023,Housing Services,Place
14706752,Reader,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14846096,Reader,1,01/11/2023,"Property, Assets and Facilities Management",Finance
15079116,Reader,1,01/01/2024,Planning and Regulation,Place
15087748,Reader,1,01/01/2024,Leisure Parks and Open Spaces,Place
15141436,Reader,1,01/01/2024,Housing Services,Place
15257044,Reader,1,01/02/2024,"Property, Assets and Facilities Management",Finance
15498064,Reader,1,01/03/2024,Parking Enforcement (Bexley and Bromley),Place
15630360,Reader,1,01/05/2024,Housing Services,Place
15578988,Reeves,0,01/04/2024,Parking Enforcement (Bexley and Bromley),Place
15052096,Ribeiro-Addy,0,01/01/2024,Housing Services,Place
14778720,Sandhu,1,01/11/2023,Environmental Services,Place
14854328,Sandhu,1,01/11/2023,Parking Enforcement (Bexley and Bromley),Place
14962096,Sandhu,1,01/12/2023,"Highways, Traffic and Infrastructure",Place
15318644,Sandhu,1,01/02/2024,Planning and Regulation,Place
15322208,Sandhu,1,01/03/2024,Planning and Regulation,Place
15748228,Sandhu,1,01/06/2024,Complex Care,Adult Social Care & Health
15748428,Sandhu,1,01/06/2024,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14154364,Seymour,1,01/07/2023,"Property, Assets and Facilities Management",Finance
14162797,Seymour,1,01/07/2023,Housing Services,Place
14295604,Seymour,1,01/07/2023,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14347984,Seymour,1,01/08/2023,Complex Care,Adult Social Care & Health
14508576,Seymour,1,01/09/2023,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14576504,Seymour,1,01/09/2023,Housing Services,Place
14626584,Seymour,1,01/10/2023,Housing Services,Place
14664204,Seymour,1,01/10/2023,Environmental Services,Place
14702388,Seymour,1,01/10/2023,Complex Care,Adult Social Care & Health
14752828,Seymour,1,01/10/2023,Exchequer Services,Finance
14804976,Seymour,1,01/11/2023,Environmental Services,Place
14921008,Seymour,1,01/12/2023,Environmental Services,Place
14923408,Seymour,1,01/12/2023,"Highways, Traffic and Infrastructure",Place
14931040,Seymour,1,01/12/2023,Leisure Parks and Open Spaces,Place
15000684,Seymour,1,01/12/2023,Environmental Services,Place
15017613,Seymour,1,01/12/2023,Housing Services,Place
15062492,Seymour,1,01/01/2024,"Highways, Traffic and Infrastructure",Place
15115308,Seymour,1,01/01/2024,Environmental Services,Place
15232724,Seymour,1,01/02/2024,Housing Services,Place
15244684,Seymour,1,01/02/2024,Housing Services,Place
15330336,Seymour,1,01/03/2024,Planning and Regulation,Place
15336432,Seymour,1,01/03/2024,Housing Services,Place
15337032,Seymour,1,01/03/2024,Libraries and Communities,Place
15464720,Seymour,1,01/04/2024,Environmental Services,Place
15594432,Seymour,1,01/05/2024,Planning and Regulation,Place
15599028,Seymour,1,01/05/2024,Planning and Regulation,Place
15612712,Seymour,1,01/05/2024,Housing Services,Place
15664824,Seymour,1,01/05/2024,Environmental Services,Place
15673016,Seymour,1,01/05/2024,Housing Services,Place
15705648,Seymour,1,01/06/2024,Leisure Parks and Open Spaces,Place
15733392,Seymour,1,01/06/2024,Housing Services,Place
14531328,Shinwarie,0,01/09/2023,Planning and Regulation,Place
15073789,Shinwarie,0,01/01/2024,Environmental Services,Place
14283344,Slaughter,1,01/07/2023,Housing Services,Place
14364276,Slaughter,1,01/08/2023,Environmental Services,Place
14446664,Slaughter,1,01/08/2023,"Highways, Traffic and Infrastructure",Place
14513372,Slaughter,1,01/09/2023,Environmental Services,Place
14559380,Slaughter,1,01/09/2023,Environmental Services,Place
14666905,Slaughter,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14679096,Slaughter,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14686661,Slaughter,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14733641,Slaughter,1,01/10/2023,"Highways, Traffic and Infrastructure",Place
14805476,Slaughter,1,01/11/2023,Environmental Services,Place
14859460,Slaughter,1,01/11/2023,Environmental Services,Place
14865692,Slaughter,1,01/11/2023,Environmental Services,Place
14925308,Slaughter,1,01/12/2023,Housing Services,Place
14987953,Slaughter,1,01/12/2023,Housing Services,Place
15122672,Slaughter,1,01/01/2024,Planning and Regulation,Place
15136836,Slaughter,1,01/01/2024,Planning and Regulation,Place
15152632,Slaughter,1,01/01/2024,"Property, Assets and Facilities Management",Finance
15192048,Slaughter,1,01/02/2024,Housing Services,Place
15224000,Slaughter,1,01/02/2024,Environmental Services,Place
15245548,Slaughter,1,01/02/2024,Environmental Services,Place
15325236,Slaughter,1,01/03/2024,Housing Services,Place
15349420,Slaughter,1,01/03/2024,Environmental Services,Place
15402340,Slaughter,1,01/03/2024,Planning and Regulation,Place
15509387,Slaughter,1,01/04/2024,Environmental Services,Place
15587718,Slaughter,1,01/05/2024,Environmental Services,Place
15605852,Slaughter,1,01/05/2024,"Highways, Traffic and Infrastructure",Place
15762876,Slaughter,1,01/06/2024,"Highways, Traffic and Infrastructure",Place
14568245,Smith,1,01/09/2023,Strategic Planning,Place
15308148,Smith,1,01/02/2024,Planning and Regulation,Place
14409720,Taylor C,1,01/08/2023,Housing Services,Place
14180524,Taylor N,1,01/07/2023,"Highways, Traffic and Infrastructure",Place
14299504,Taylor N,1,01/07/2023,Housing Services,Place
14303668,Taylor N,1,01/08/2023,Environmental Services,Place
14828900,Taylor N,1,01/11/2023,Environmental Services,Place
15219368,Taylor N,1,01/02/2024,Housing Services,Place
15401145,Taylor N,1,01/03/2024,Planning and Regulation,Place
15572888,Taylor N,1,01/04/2024,Environmental Services,Place
14307468,Ward-Wilson,1,01/07/2023,Complex Care,Adult Social Care & Health
14364776,Ward-Wilson,1,01/08/2023,Environmental Services,Place
14385364,Ward-Wilson,1,01/08/2023,"Highways, Traffic and Infrastructure",Place
14416880,Ward-Wilson,1,01/08/2023,Complex Care,Adult Social Care & Health
14563744,Ward-Wilson,1,01/09/2023,Environmental Services,Place
14572572,Ward-Wilson,1,01/09/2023,Planning and Regulation,Place
14833500,Ward-Wilson,1,01/11/2023,"Highways, Traffic and Infrastructure",Place
14899516,Ward-Wilson,1,01/11/2023,"Highways, Traffic and Infrastructure",Place
15049996,Ward-Wilson,1,01/01/2024,"Highways, Traffic and Infrastructure",Place
15086648,Ward-Wilson,1,01/01/2024,Environmental Services,Place
15285300,Ward-Wilson,1,01/02/2024,0-25 SEND,Educational Achievement & Inclusion
15431020,Ward-Wilson,1,01/03/2024,Environmental Services,Place
15494464,Ward-Wilson,1,01/04/2024,Safeguarding Adults,Adult Social Care & Health
15632656,Ward-Wilson,1,01/05/2024,Environmental Services,Place
15666024,Ward-Wilson,1,01/05/2024,"Highways, Traffic and Infrastructure",Place
15726996,Ward-Wilson,1,01/06/2024,Housing Services,Place
14146900,Gower,1,01/07/2023,Environmental Services,Place
14147400,Sandhu,1,01/07/2023,Environmental Services,Place
14148200,Christoforides,1,01/07/2023,Environmental Services,Place
14153864,Curtois,1,01/07/2023,Leisure Parks and Open Spaces,Place
14156364,Davey,1,01/07/2023,Leisure Parks and Open Spaces,Place
14157996,Gower,1,01/07/2023,Environmental Services,Place
14158496,Ball,1,01/07/2023,Planning and Regulation,Place
14161096,Curtois,1,01/07/2023,Leisure Parks and Open Spaces,Place
